132227.8824910164 win, bet_size: 132227.8824910164
132227.88249078215 loss, bet_size: 2.3425673134624958e-07
132227.88249026678 loss, bet_size: 5.153706297278404e-07
132227.882489133 loss, bet_size: 1.1337979231029749e-06
132227.88248663864 loss, bet_size: 2.494343789294362e-06
132227.88249223598 win, bet_size: 5.597335984930396e-06
132227.88248016327 loss, bet_size: 1.2072705430909991e-05
132227.8825072544 win, bet_size: 2.7091125957667828e-05
132227.88256685485 win, bet_size: 5.9600453823804855e-05
132227.88256684484 loss, bet_size: 1.0011717677116394e-08
132227.88256686728 win, bet_size: 2.2439053282141685e-08
132227.88256681888 loss, bet_size: 4.839967004954815e-08
132227.8825669275 win, bet_size: 1.0861549526453018e-07
132227.88256716644 win, bet_size: 2.389424480497837e-07
132227.88256717662 win, bet_size: 1.0186340659856796e-08
132227.88256715462 loss, bet_size: 2.200249582529068e-08
132227.88256720398 win, bet_size: 4.936009645462036e-08
132227.8825673126 win, bet_size: 1.0861549526453018e-07
132227.8825673026 loss, bet_size: 1.0011717677116394e-08
132227.88256732502 win, bet_size: 2.2439053282141685e-08
132227.88256727663 loss, bet_size: 4.839967004954815e-08
132227.88256738524 win, bet_size: 1.0861549526453018e-07
132227.88256762418 win, bet_size: 2.389424480497837e-07
132227.88256763437 win, bet_size: 1.0186340659856796e-08
132227.8825676568 win, bet_size: 2.2439053282141685e-08
132227.8825676468 loss, bet_size: 1.0011717677116394e-08
132227.8825676248 loss, bet_size: 2.200249582529068e-08
132227.88256767415 win, bet_size: 4.936009645462036e-08
132227.88256756766 loss, bet_size: 1.0649091564118862e-07
132227.8825673334 loss, bet_size: 2.3425673134624958e-07
132227.88256681804 loss, bet_size: 5.153706297278404e-07
132227.8825679745 win, bet_size: 1.1564698070287704e-06
132227.88256548016 loss, bet_size: 2.494343789294362e-06
132227.88255999258 loss, bet_size: 5.487585440278053e-06
132227.88257230673 win, bet_size: 1.2314150808379054e-05
132227.88259939785 win, bet_size: 2.7091125957667828e-05
132227.88259938784 loss, bet_size: 1.0011717677116394e-08
132227.88259941028 win, bet_size: 2.2439053282141685e-08
132227.88259945964 win, bet_size: 4.936009645462036e-08
132227.88259946983 win, bet_size: 1.0186340659856796e-08
