130830.54408395464 win, bet_size: 130830.54408395464
130830.54408397707 win, bet_size: 2.2439053282141685e-08
130830.54408392867 loss, bet_size: 4.839967004954815e-08
130830.5440838222 loss, bet_size: 1.0647636372596025e-07
130830.54408358794 loss, bet_size: 2.3425673134624958e-07
130830.54408411362 win, bet_size: 5.256733857095242e-07
130830.54408527008 win, bet_size: 1.1564698070287704e-06
130830.54408528029 win, bet_size: 1.0200892575085163e-08
130830.54408525828 loss, bet_size: 2.200249582529068e-08
130830.54408520988 loss, bet_size: 4.839967004954815e-08
130830.5440851034 loss, bet_size: 1.0647636372596025e-07
130830.54408486915 loss, bet_size: 2.3425673134624958e-07
130830.54408539482 win, bet_size: 5.256733857095242e-07
130830.5440865513 win, bet_size: 1.1564698070287704e-06
130830.5440865413 loss, bet_size: 9.997165761888027e-09
130830.54408656374 win, bet_size: 2.2439053282141685e-08
130830.54408661311 win, bet_size: 4.937464836984873e-08
130830.54408662331 win, bet_size: 1.0200892575085163e-08
130830.54408660131 loss, bet_size: 2.200249582529068e-08
130830.54408665068 win, bet_size: 4.937464836984873e-08
130830.5440865442 loss, bet_size: 1.0647636372596025e-07
130830.54408630995 loss, bet_size: 2.3425673134624958e-07
130830.5440857946 loss, bet_size: 5.153560778126121e-07
130830.5440846608 loss, bet_size: 1.1337979231029749e-06
130830.54408720504 win, bet_size: 2.544242306612432e-06
130830.54409280237 win, bet_size: 5.597335984930396e-06
130830.54409281258 win, bet_size: 1.0200892575085163e-08
130830.54409279057 loss, bet_size: 2.200249582529068e-08
130830.54409274217 loss, bet_size: 4.839967004954815e-08
130830.5440926357 loss, bet_size: 1.0647636372596025e-07
130830.54409287464 win, bet_size: 2.389424480497837e-07
130830.54409340031 win, bet_size: 5.256733857095242e-07
130830.54409341051 win, bet_size: 1.0200892575085163e-08
130830.54409338851 loss, bet_size: 2.200249582529068e-08
130830.54409334011 loss, bet_size: 4.839967004954815e-08
130830.54409344873 win, bet_size: 1.0861549526453018e-07
130830.54409368767 win, bet_size: 2.389424480497837e-07
130830.54409369787 win, bet_size: 1.0200892575085163e-08
130830.54409372031 win, bet_size: 2.2439053282141685e-08
130830.54409373051 win, bet_size: 1.0200892575085163e-08
